section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3,description_4,description_5,description_6,description_7,description_8,description_9
education,TRUE,MSc Environmental Sciences and Policy,Central European University,"Budapest, HU",2005,2006,Outstanding Academic Achievement Award (highest GPA),,,,,,,,
education,TRUE,BA Sociology with Statistics,Babes-Bolyai University,"Cluj-Napoca, RO",1999,2003,NA,NA,,,,,,,
research_positions,FALSE,Research Assistant,Adair Laboratory,University of Vermont,2012,2013,Independently analyzed and constructed statistical models for large data sets pertaining to carbon decomposition rates.,NA,NA,,,,,,
research_positions,FALSE,Undergraduate Researcher,Bentil Laboratory,University of Vermont,2013,2014,Developed mathematical model to predict the transport of sulfur through the environment with applications in waste cleanup.,NA,NA,,,,,,
research_positions,FALSE,Undergraduate Researcher,Rubenstein Ecosystems Science Laboratory,University of Vermont,2013,2015,Analyzed and visualized data for CATOS fish tracking project.,Head of data mining project to establish temporal trends in population densities of Mysis diluviana (Mysis).,Ran project to mathematically model the migration patterns of Mysis (honors thesis project.),,,,,,
industry_positions,TRUE,Senior R Developer,NPL Markets,Remote,2022,Present,"Productionised existing codebase and developed tools for analysts / data scientists, such as: a {pagedown} reporting template, a {ggplot2} theme, an internal (CRAN-like) package repository etc.","Added new features to and improved functionality of existing R and Shiny projects (NPL Markets Analytics, Valuation and Marketplace platform).",Build an internal repository for R packages with {drat} and GitHub pages ,"Introduced DevOps practices with GitHub Actions (R CMD checks, automatic deployment to internal package repository, linting, tagging and versioning etc)","Improved code review processes and introduced software development best practices (code modularisation, unit testing, snapshot testing, etc).","Tools used: R, RStudio, VSCode, Shiny, GitHub (including Actions), HTML, CSS, SQL",,,
industry_positions,TRUE,Open Source Developer Apprentice,Voltron Data Labs,Freelance - Remote,2021,2022,Software development and maintenance tasks for the [Apache Arrow](https://arrow.apache.org) open source software project.,Scoped and led the implementation of the date-time functionality in the [{arrow}](https://arrow.apache.org/docs/r/) R package.,Reviewed pull requests submitted by other contributors.,Triaged and solved bugs (both user-reported and picked-up by the Arrow continuous integration systems).,Improved unit test coverage and continuous integration workflows.,Created and improved user and developer facing documentation.,"Tools used: Jira, GitHub, R, R6 and S3 object-oriented systems, C++, etc.",,
industry_positions,TRUE,Senior Data Scientist,Typeform,Remote,2021,2021,"Lead data scientist for VideoAsk, a new Typeform product, where I established the data science function.",Developed a 1-year road map for better leveraging data to shape product and business strategies.,"Established data collection, tracking, data pipelines and AB testing frameworks.",Prepared the first data-led financial annual forecast for 2022.,"Provided analytical support for consumer, growth, marketing and product teams.","Tools used: R, RStudio, GitHub, SQL, DataBricks, Amplitude, Full Story.",,,
industry_positions,TRUE,Senior Data Scientist,The LEGO Group,"London, UK",2020,2021,Helped LEGO understand how its marketing expenditure contributes to consumer sales and brand strength.,Built Bayesian market mix models to explain and attribute brand strength.,"Improved workflows, data and codebase quality by introducing software development best practices. ","Mentored and coached team in package building, test-driven development, production-level code etc.","Wrote several internal packages (e.g. {ggplot2} theme, internal utilities, etc).","Tools used: R, RStudio Server, GitLab, Shiny.",,,
industry_positions,TRUE,Data Science Consultant,Mango Solutions,"London, UK",2018,2020,Enabled companies achieve business goals from their data. ,"Built a modularised, packaged Shiny app and an accompanying R package for exploring clinical trials data (covering graphs and tables).",Built data-cleaning and wrangling pipelines flowing into machine learning processes. ,"Developed client R packages to handle tasks, such as: reporting, data ingestion, data cleaning, data wrangling, feature engineering and predictive modelling.",Predicted propensity to churn for a client in the leisure industry using gradient boosted trees.,Forecasted sales of several drug-country combinations for a pharmaceutical company using various time series and machine learning models.,Developed and improved R training materials.,Tested multiple R packages using the {testthat} testing framework as part of [ValidR](https://www.mango-solutions.com/additional-solutions/validr).,"Tools used: R, RStudio, GitLab, GitHub, Shiny, "
industry_positions,TRUE,Data Scientist/ Statistician,"Department for Business, Energy and Industrial Strategy","London, UK",2016,2017,Improved the quality of UK business data feeding into key policy areas.,Linked education and revenue data for the first time in the UK to chart the transition of graduates into the workplace.,"Automated the production of official statistical publications by moving from SPSS, Excel, and Word to SQL, R and RMarkdown.",Built a geospatial machine learning model using a density-based spatial clustering algorithm to inform the UK industrial strategy.,Created and delivered introductory-level training courses in R and QGIS.,,,,
industry_positions,TRUE,Assistant Manager,Cycle Surgery,"London, UK",2014,2015,Ran one of the biggest cycling shops in London with 20+ staff. Increased year-on-year turnover by 20 percent.,NA,NA,,,,,,
industry_positions,TRUE,Analyst,Romanian Financial Supervisory Authority,"Bucharest, RO",2007,2013,Represented the Commission and Romania in technical working groups at EU and national level.,"Gathered, interpreted, analysed data and developed solutions to policy challenges.","Produced and delivered research insights into relevant areas (e.g carbon trading, investor protection, etc.).",,,,,,
industry_positions,TRUE,Programme Manager,Center for Protected Areas and Sustainable Development - Bihor,"Oradea, RO",2004,2005,"Coordinated the most complex programme of the NGO: the Apuseni Experience ecotourism programme. Designed, developed and implemented its first business plan.",,,,,,,,
teaching_positions,FALSE,Data Visualization Best Practices,DataCamp,N/A,2019,2019,Designed from bottom up course to teach best practices for scientific visualizations.,Uses R and ggplot2.,In top 10% on platform by popularity.,,,,,,
teaching_positions,FALSE,Improving your visualization in Python,DataCamp,N/A,2019,2019,Designed from bottom up course to teach advanced methods for enhancing visualization.,"Uses python, matplotlib, and seaborn.",NA,,,,,,
